izbori2015_user,count(*)
zsic12,6
zupkovic,6
Zvjeronika,6
192900mus,5
acadoske,5
anana14,5
andrejfnovak,5
andropetani,5
AntonioSiber,5
Anytako,5
Blonda_anakonda,5
bojana_puzigaca,5
Boris_AJB,5
bozana64,5
carmensite,5
CronomyOrg,5
dalriadu,5
DamirSalopek,5
darkomajic,5
davdagic,5
DianaBatinic,5
dinnchi,5
domagojmicic,5
domichewa,5
DuskoSzeged,5
emilio_8888,5
gogo_haerbe,5
gorankvalic,5
Goran_Majic,5
GordijanaNo1,5
gricanka,5
Hrvoje_Ri,5
IgorNNNN,5
ihrstic,5
IrenaUlcar,5
ivanbrezakbrkan,5
ivnekic,5
IvSar7,5
joza8910,5
KapulicaIvan,5
KaraulaZG,5
Karlaandric,5
KarlaMorrissey,5
karla_blento,5
kometovski,5
KraljissaDivna,5
KuharH,5
kulashica,5
larifari753,5
LeCoeurSec,5
Lika_Club,5
LSEEuroppblog,5
maja21luna,5
maja_kubik,5
MarijaZG,5
MarkoVCF,5
marko_romanjik,5
Maxmurluk,5
milancekic,5
MirnaBrekalo,5
MitreGeorgiev,5
mi_sa_matulji,5
Mladen_Sirovica,5
MuVedran,5
mxvuk,5
MZlikovsky,5
NandinoLoncar,5
NeckoD,5
nenadcicko,5
netokracija,5
nikolaplejic,5
Njonjarrah,5
Okrad4,5
omega6xx,5
p3r02d3r0,5
razza_pn,5
rezo_dino,5
robi052,5
rudarica,5
scdtwister,5
seabro,5
SinCrni,5
svetonilovic,5
TechToni,5
tetkovic1,5
thegradecak,5
tilen,5
